,q_id,corr_opt,diff_lev,top_id,chap_id
553,3449,4,26,4107,376
554,3450,3,26,4092,371
555,3456,4,23,4031,367
556,3458,2,10,4264,389
557,3460,1,10,4265,389
558,3461,1,4,4198,383
559,3462,1,15,4141,373
560,3466,3,15,4126,374
561,3467,3,15,4047,368
562,3471,1,15,4258,389
563,3472,3,14,4267,389
564,3481,2,15,4090,371
565,3486,2,15,4146,373
566,3487,2,2,4179,386
567,3488,2,15,4130,375
568,3491,1,4,3842,332
569,3494,4,13,3927,351
570,3498,2,2,3956,355
571,3500,1,10,3939,357
572,3502,1,4,3911,347
573,3506,4,25,3869,337
574,3508,3,2,3960,355
575,3511,4,12,3932,353
576,3514,2,2,3872,338
577,3515,2,12,3930,352
578,3516,4,4,3898,344
579,3517,3,26,3911,347
581,3519,1,2,3817,326
582,3520,4,26,3830,330
583,3521,4,5,3868,337
584,3522,1,5,4585,330
585,3523,1,9,3886,342
586,3524,3,9,3881,341
588,3526,3,26,3932,353
589,3527,2,12,3933,354
590,3528,2,26,3921,350
591,3529,1,12,3898,344
592,3530,4,12,3904,346
593,3531,2,12,3906,346
594,3532,2,19,3910,347
595,3533,2,14,4179,386
596,3534,2,12,4226,382
597,3535,3,15,4172,386
598,3536,3,12,4175,386
599,3537,1,12,4207,384
600,3538,2,12,4193,383
601,3539,4,15,3988,361
602,3540,1,15,3976,360
603,3541,3,13,4033,367
604,3542,4,15,3988,361
605,3543,4,15,4007,363
606,3544,1,13,3977,360
607,3545,2,15,4023,366
608,3546,4,15,4115,374
609,3547,3,15,4149,377
610,3548,1,26,4090,371
611,3549,4,15,4118,374
612,3550,1,15,3987,361
613,3551,3,15,4229,388
614,3552,3,15,4044,368
615,3553,2,9,4066,372
616,3554,4,13,4014,362
617,3555,3,13,4264,389
618,3556,3,1,4512,610
619,3557,4,1,4387,626
620,3558,3,2,4502,609
621,3559,1,1,4515,610
622,3560,1,1,4500,609
623,3561,2,1,4410,593
624,3562,3,1,4424,595
626,3564,4,10,4350,587
630,3568,1,4,4367,589
631,3569,3,4,4342,624
632,3570,4,13,4416,594
633,3571,2,10,4342,624
634,3572,3,1,4545,615
635,3573,2,16,4530,612
636,3574,3,10,4549,616
637,3575,3,13,4365,588
638,3576,3,16,4340,624
639,3577,3,22,4399,591
640,3578,3,13,4528,611
641,3579,4,25,4521,611
642,3580,2,1,4453,600
643,3581,2,25,4473,603
644,3582,2,10,4502,609
645,3583,4,13,4468,602
646,3584,1,13,4380,590
647,3585,1,13,4477,604
648,3586,4,22,4452,600
649,3587,1,16,4477,604
650,3588,1,22,4575,590
651,3589,3,13,4441,598
652,3590,3,10,4493,607
653,3591,4,25,4488,607
654,3592,2,13,4566,620
655,3593,2,25,4554,617
656,3594,1,25,4529,612
657,3595,2,25,4529,612
658,3596,4,25,4532,612
659,3597,2,25,4393,591
660,3598,3,25,4545,615
661,3599,3,22,4503,609
662,3600,1,25,4494,607
663,3601,3,19,4563,619
664,3602,3,22,4447,599
665,3603,3,9,3947,358
666,3604,2,10,3878,340
667,3605,3,12,3883,341
668,3606,2,25,3923,351
669,3607,3,12,3928,351
670,3608,2,9,3890,343
671,3609,1,12,3887,342
672,3610,2,26,3900,345
673,3611,3,2,3906,346
674,3612,3,9,3898,344
675,3613,4,25,3909,347
676,3614,2,25,3937,356
677,3615,2,12,3886,342
678,3616,2,3,3885,342
679,3617,4,9,3933,354
680,3618,3,9,3917,349
681,3619,3,26,3921,350
682,3620,2,3,3950,359
683,3621,2,12,3939,357
684,3622,4,3,3930,352
685,3623,3,26,3932,353
686,3624,3,4,3960,355
687,3625,1,9,3926,351
688,3626,3,15,3857,334
689,3627,3,15,3851,333
690,3628,4,15,3840,331
691,3629,2,12,3834,331
692,3630,4,12,3817,326
693,3631,4,25,3856,334
694,3632,1,15,3869,337
695,3633,2,12,3853,334
696,3634,1,2,3862,335
697,3635,4,12,3864,336
698,3636,2,4,3882,341
699,3637,3,10,4213,381
700,3638,1,10,3993,364
701,3639,1,10,4057,369
702,3640,4,15,3990,364
703,3641,3,2,4097,371
704,3642,2,15,3988,361
705,3643,4,5,4150,377
706,3644,2,5,4161,378
707,3645,4,13,4102,376
708,3646,3,7,4148,377
709,3647,1,2,4098,371
710,3648,2,10,3976,360
711,3649,3,15,3966,365
712,3650,4,10,4118,374
713,3651,4,14,4141,373
714,3652,2,13,3987,361
715,3653,3,13,4083,371
716,3654,4,11,4134,375
717,3655,3,12,4030,367
718,3656,2,10,4027,366
719,3657,3,12,4023,366
